
========== Fold 1/10 ==========
Fold 03 | Epoch 20/50 | Train: 0.011964 | Val: 0.012246
Fold 03 | Epoch 21/50 | Train: 0.011615 | Val: 0.011923
Fold 03 | Epoch 22/50 | Train: 0.011312 | Val: 0.011759
Fold 03 | Epoch 23/50 | Train: 0.011015 | Val: 0.011413
Fold 03 | Epoch 24/50 | Train: 0.010714 | Val: 0.011070
Fold 03 | Epoch 25/50 | Train: 0.010396 | Val: 0.010751
Fold 03 | Epoch 26/50 | Train: 0.010102 | Val: 0.010506
Fold 03 | Epoch 27/50 | Train: 0.009848 | Val: 0.010297
Fold 03 | Epoch 28/50 | Train: 0.009627 | Val: 0.010270
Fold 03 | Epoch 29/50 | Train: 0.009386 | Val: 0.010138
Fold 03 | Epoch 30/50 | Train: 0.009168 | Val: 0.009804
Fold 03 | Epoch 31/50 | Train: 0.008969 | Val: 0.009375
Fold 03 | Epoch 32/50 | Train: 0.008771 | Val: 0.009304
Fold 03 | Epoch 33/50 | Train: 0.008580 | Val: 0.009119
Fold 03 | Epoch 34/50 | Train: 0.008403 | Val: 0.009050
Fold 03 | Epoch 35/50 | Train: 0.008233 | Val: 0.009027
Fold 03 | Epoch 36/50 | Train: 0.008084 | Val: 0.008633
Fold 03 | Epoch 37/50 | Train: 0.007924 | Val: 0.008529
Fold 03 | Epoch 38/50 | Train: 0.007777 | Val: 0.008405
Fold 03 | Epoch 39/50 | Train: 0.007634 | Val: 0.008427
Fold 03 | Epoch 40/50 | Train: 0.007512 | Val: 0.008048
Fold 03 | Epoch 41/50 | Train: 0.007364 | Val: 0.008168
Fold 03 | Epoch 42/50 | Train: 0.007263 | Val: 0.007827
Fold 03 | Epoch 43/50 | Train: 0.007139 | Val: 0.007787
Fold 03 | Epoch 44/50 | Train: 0.007038 | Val: 0.007576
Fold 03 | Epoch 45/50 | Train: 0.006935 | Val: 0.007551
Fold 03 | Epoch 46/50 | Train: 0.006858 | Val: 0.007412
Fold 03 | Epoch 47/50 | Train: 0.006774 | Val: 0.007461
Fold 03 | Epoch 48/50 | Train: 0.006655 | Val: 0.007421
Fold 03 | Epoch 49/50 | Train: 0.006600 | Val: 0.007215
Fold 03 | Epoch 50/50 | Train: 0.006527 | Val: 0.007173

========== Fold 4/10 ==========
Fold 04 | Epoch 01/50 | Train: 0.063083 | Val: 0.055103
Fold 04 | Epoch 02/50 | Train: 0.050811 | Val: 0.046548
Fold 04 | Epoch 03/50 | Train: 0.040640 | Val: 0.034913
Fold 04 | Epoch 04/50 | Train: 0.032429 | Val: 0.030533
Fold 04 | Epoch 05/50 | Train: 0.028853 | Val: 0.026794
Fold 04 | Epoch 06/50 | Train: 0.025580 | Val: 0.024518
Fold 04 | Epoch 07/50 | Train: 0.023654 | Val: 0.022961
Fold 04 | Epoch 08/50 | Train: 0.022010 | Val: 0.021199
Fold 04 | Epoch 09/50 | Train: 0.020278 | Val: 0.019461
Fold 04 | Epoch 10/50 | Train: 0.018721 | Val: 0.018308
Fold 04 | Epoch 11/50 | Train: 0.017520 | Val: 0.017085
Fold 04 | Epoch 12/50 | Train: 0.016455 | Val: 0.016238
Fold 04 | Epoch 13/50 | Train: 0.015694 | Val: 0.015627
Fold 04 | Epoch 14/50 | Train: 0.015060 | Val: 0.015028
Fold 04 | Epoch 15/50 | Train: 0.014483 | Val: 0.014406
Fold 04 | Epoch 16/50 | Train: 0.013892 | Val: 0.013813
Fold 04 | Epoch 17/50 | Train: 0.013268 | Val: 0.013248
Fold 04 | Epoch 18/50 | Train: 0.012713 | Val: 0.012662
Fold 04 | Epoch 19/50 | Train: 0.012185 | Val: 0.012249
Fold 04 | Epoch 20/50 | Train: 0.011758 | Val: 0.011872
Fold 04 | Epoch 21/50 | Train: 0.011380 | Val: 0.011722
Fold 04 | Epoch 22/50 | Train: 0.011064 | Val: 0.011354
Fold 04 | Epoch 23/50 | Train: 0.010754 | Val: 0.010979
Fold 04 | Epoch 24/50 | Train: 0.010441 | Val: 0.010696
Fold 04 | Epoch 25/50 | Train: 0.010132 | Val: 0.010355
Fold 04 | Epoch 26/50 | Train: 0.009852 | Val: 0.010260
Fold 04 | Epoch 27/50 | Train: 0.009588 | Val: 0.009834
Fold 04 | Epoch 28/50 | Train: 0.009340 | Val: 0.009739
Fold 04 | Epoch 29/50 | Train: 0.009110 | Val: 0.009536
Fold 04 | Epoch 30/50 | Train: 0.008896 | Val: 0.009234
Fold 04 | Epoch 31/50 | Train: 0.008731 | Val: 0.009083
Fold 04 | Epoch 32/50 | Train: 0.008562 | Val: 0.008894
Fold 04 | Epoch 33/50 | Train: 0.008400 | Val: 0.008947
Fold 04 | Epoch 34/50 | Train: 0.008257 | Val: 0.008699
Fold 04 | Epoch 35/50 | Train: 0.008105 | Val: 0.008617
Fold 04 | Epoch 36/50 | Train: 0.007982 | Val: 0.008489
Fold 04 | Epoch 37/50 | Train: 0.007848 | Val: 0.008320
Fold 04 | Epoch 38/50 | Train: 0.007727 | Val: 0.008204
Fold 04 | Epoch 39/50 | Train: 0.007600 | Val: 0.008085
Fold 04 | Epoch 40/50 | Train: 0.007473 | Val: 0.007952
Fold 04 | Epoch 41/50 | Train: 0.007360 | Val: 0.007830
Fold 04 | Epoch 42/50 | Train: 0.007245 | Val: 0.007746
Fold 04 | Epoch 43/50 | Train: 0.007143 | Val: 0.007589
Fold 04 | Epoch 44/50 | Train: 0.007042 | Val: 0.007679
Fold 04 | Epoch 45/50 | Train: 0.006930 | Val: 0.007543
Fold 04 | Epoch 46/50 | Train: 0.006836 | Val: 0.007395
Fold 04 | Epoch 47/50 | Train: 0.006754 | Val: 0.007390
Fold 04 | Epoch 48/50 | Train: 0.006662 | Val: 0.007320
Fold 04 | Epoch 49/50 | Train: 0.006574 | Val: 0.007069
Fold 04 | Epoch 50/50 | Train: 0.006492 | Val: 0.007008

========== Fold 5/10 ==========
Fold 05 | Epoch 01/50 | Train: 0.063517 | Val: 0.055578
Fold 05 | Epoch 02/50 | Train: 0.051487 | Val: 0.047215
Fold 05 | Epoch 03/50 | Train: 0.041691 | Val: 0.035340
Fold 05 | Epoch 04/50 | Train: 0.032820 | Val: 0.030957
Fold 05 | Epoch 05/50 | Train: 0.029294 | Val: 0.027361
Fold 05 | Epoch 06/50 | Train: 0.025880 | Val: 0.024622
Fold 05 | Epoch 07/50 | Train: 0.023751 | Val: 0.022940
Fold 05 | Epoch 08/50 | Train: 0.022117 | Val: 0.021588
Fold 05 | Epoch 09/50 | Train: 0.020655 | Val: 0.019937
Fold 05 | Epoch 10/50 | Train: 0.019067 | Val: 0.018461
Fold 05 | Epoch 11/50 | Train: 0.017603 | Val: 0.017208
Fold 05 | Epoch 12/50 | Train: 0.016512 | Val: 0.016309
Fold 05 | Epoch 13/50 | Train: 0.015705 | Val: 0.015691
Fold 05 | Epoch 14/50 | Train: 0.015026 | Val: 0.015083
Fold 05 | Epoch 15/50 | Train: 0.014370 | Val: 0.014339
Fold 05 | Epoch 16/50 | Train: 0.013755 | Val: 0.013881
Fold 05 | Epoch 17/50 | Train: 0.013182 | Val: 0.013285
Fold 05 | Epoch 18/50 | Train: 0.012664 | Val: 0.012766
Fold 05 | Epoch 19/50 | Train: 0.012175 | Val: 0.012384
Fold 05 | Epoch 20/50 | Train: 0.011691 | Val: 0.012042
Fold 05 | Epoch 21/50 | Train: 0.011258 | Val: 0.011649
Fold 05 | Epoch 22/50 | Train: 0.010838 | Val: 0.011088
Fold 05 | Epoch 23/50 | Train: 0.010523 | Val: 0.010798
Fold 05 | Epoch 24/50 | Train: 0.010240 | Val: 0.010601
Fold 05 | Epoch 25/50 | Train: 0.009989 | Val: 0.010398
Fold 05 | Epoch 26/50 | Train: 0.009754 | Val: 0.010105
Fold 05 | Epoch 27/50 | Train: 0.009528 | Val: 0.010034
Fold 05 | Epoch 28/50 | Train: 0.009298 | Val: 0.009727
Fold 05 | Epoch 29/50 | Train: 0.009067 | Val: 0.009551
Fold 05 | Epoch 30/50 | Train: 0.008833 | Val: 0.009381
Fold 05 | Epoch 31/50 | Train: 0.008615 | Val: 0.009227
Fold 05 | Epoch 32/50 | Train: 0.008433 | Val: 0.008861
Fold 05 | Epoch 33/50 | Train: 0.008251 | Val: 0.008618
Fold 05 | Epoch 34/50 | Train: 0.008061 | Val: 0.008573
Fold 05 | Epoch 35/50 | Train: 0.007895 | Val: 0.008468
Fold 05 | Epoch 36/50 | Train: 0.007719 | Val: 0.008198
Fold 05 | Epoch 37/50 | Train: 0.007588 | Val: 0.008054
Fold 05 | Epoch 38/50 | Train: 0.007433 | Val: 0.007949
Fold 05 | Epoch 39/50 | Train: 0.007311 | Val: 0.007831
Fold 05 | Epoch 40/50 | Train: 0.007189 | Val: 0.007634
Fold 05 | Epoch 41/50 | Train: 0.007071 | Val: 0.007535
Fold 05 | Epoch 42/50 | Train: 0.006971 | Val: 0.007534
Fold 05 | Epoch 43/50 | Train: 0.006870 | Val: 0.007379
Fold 05 | Epoch 44/50 | Train: 0.006762 | Val: 0.007256
Fold 05 | Epoch 45/50 | Train: 0.006667 | Val: 0.007185
Fold 05 | Epoch 46/50 | Train: 0.006569 | Val: 0.007053
Fold 05 | Epoch 47/50 | Train: 0.006481 | Val: 0.006988
Fold 05 | Epoch 48/50 | Train: 0.006403 | Val: 0.006947
Fold 05 | Epoch 49/50 | Train: 0.006328 | Val: 0.006936
Fold 05 | Epoch 50/50 | Train: 0.006260 | Val: 0.006828

========== Fold 6/10 ==========
Fold 06 | Epoch 01/50 | Train: 0.063350 | Val: 0.056011
Fold 06 | Epoch 02/50 | Train: 0.051266 | Val: 0.047154
Fold 06 | Epoch 03/50 | Train: 0.041385 | Val: 0.035571
Fold 06 | Epoch 04/50 | Train: 0.032830 | Val: 0.030794
Fold 06 | Epoch 05/50 | Train: 0.028660 | Val: 0.026982
Fold 06 | Epoch 06/50 | Train: 0.025597 | Val: 0.024466
Fold 06 | Epoch 07/50 | Train: 0.023712 | Val: 0.023185
Fold 06 | Epoch 08/50 | Train: 0.022125 | Val: 0.021419
Fold 06 | Epoch 09/50 | Train: 0.020561 | Val: 0.020121
Fold 06 | Epoch 10/50 | Train: 0.019156 | Val: 0.018603
Fold 06 | Epoch 11/50 | Train: 0.017955 | Val: 0.017659
Fold 06 | Epoch 12/50 | Train: 0.017049 | Val: 0.017046
Fold 06 | Epoch 13/50 | Train: 0.016339 | Val: 0.016392
Fold 06 | Epoch 14/50 | Train: 0.015619 | Val: 0.015431
Fold 06 | Epoch 15/50 | Train: 0.014941 | Val: 0.014939
Fold 06 | Epoch 16/50 | Train: 0.014322 | Val: 0.014268
Fold 06 | Epoch 17/50 | Train: 0.013662 | Val: 0.013584
Fold 06 | Epoch 18/50 | Train: 0.012958 | Val: 0.013059
Fold 06 | Epoch 19/50 | Train: 0.012366 | Val: 0.012538
Fold 06 | Epoch 20/50 | Train: 0.011869 | Val: 0.011996
Fold 06 | Epoch 21/50 | Train: 0.011427 | Val: 0.011636
Fold 06 | Epoch 22/50 | Train: 0.011024 | Val: 0.011231
Fold 06 | Epoch 23/50 | Train: 0.010662 | Val: 0.011131
Fold 06 | Epoch 24/50 | Train: 0.010352 | Val: 0.010709
Fold 06 | Epoch 25/50 | Train: 0.010093 | Val: 0.010476
Fold 06 | Epoch 26/50 | Train: 0.009839 | Val: 0.010152
Fold 06 | Epoch 27/50 | Train: 0.009599 | Val: 0.010167
Fold 06 | Epoch 28/50 | Train: 0.009397 | Val: 0.009920
Fold 06 | Epoch 29/50 | Train: 0.009204 | Val: 0.009688
Fold 06 | Epoch 30/50 | Train: 0.009027 | Val: 0.009386
Fold 06 | Epoch 31/50 | Train: 0.008833 | Val: 0.009301
Fold 06 | Epoch 32/50 | Train: 0.008668 | Val: 0.009220
Fold 06 | Epoch 33/50 | Train: 0.008500 | Val: 0.009111
Fold 06 | Epoch 34/50 | Train: 0.008335 | Val: 0.008837
